task_id,passed,time_ms,error
wemake-services__wemake-python-styleguide-3114,0,39256,Not resolved
pypa__twine-1225,1,55259,
python-babel__babel-1164,0,41017,
reflex-dev__reflex-4711,0,741412,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
privacyidea__privacyidea-4226,0,463721,KeyError: 'oai_chat_response'
sphinx-doc__sphinx-13200,0,30105,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
streamlink__streamlink-6381,0,84951,Not resolved
facebookresearch__hydra-3005,0,60890,
pydata__xarray-9974,0,42647,
streamlink__streamlink-6389,0,65480,Not resolved
projectmesa__mesa-2605,0,40355,
huggingface__smolagents-405,0,250111,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
arviz-devs__arviz-2413,0,54384,
jazzband__tablib-613,0,31141,
aws-cloudformation__cfn-lint-3947,0,480389,
sphinx-doc__sphinx-13318,0,75102,KeyError: 'oai_chat_response'
deepset-ai__haystack-8879,0,222533,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
streamlink__streamlink-6439,0,69720,
shapely__shapely-2226,0,32973,Not resolved
pybamm-team__pybamm-4865,0,106758,
dynaconf__dynaconf-1241,0,157370,
matplotlib__matplotlib-29689,0,47120,KeyError: 'oai_chat_response'
joke2k__faker-2162,0,472641,
pylint-dev__pylint-10240,0,204794,
flexget__flexget-4244,0,100410,KeyError: 'oai_chat_response'
deepset-ai__haystack-8799,0,286522,
beeware__briefcase-2214,0,502013,
hiyouga__llama-factory-7505,0,241986,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
conan-io__conan-17917,0,246605,Not resolved
aws-cloudformation__cfn-lint-4032,0,534003,
deepset-ai__haystack-8981,0,174300,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
aws-cloudformation__cfn-lint-4009,0,370938,
matplotlib__matplotlib-29721,1,114618,
reata__sqllineage-694,0,427554,
python-control__python-control-1142,0,316312,
conan-io__conan-17923,0,426373,
jupyterlab__jupyter-ai-1294,0,245465,KeyError: 'oai_chat_response'
stanford-crfm__helm-3467,0,205512,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
reflex-dev__reflex-4129,0,196525,Not resolved
python-babel__babel-1141,0,38929,
keras-team__keras-20389,0,101358,
falconry__falcon-2366,0,40688,KeyError: 'oai_chat_response'
pvlib__pvlib-python-2286,0,69613,JSONDecodeError: Unterminated string starting at: line 1 column 84 (char 83)
conan-io__conan-17117,0,308687,Not resolved
aws-cloudformation__cfn-lint-3805,0,547768,
matplotlib__matplotlib-29007,0,267262,KeyError: 'oai_chat_response'
reflex-dev__reflex-4087,0,140884,
aws-cloudformation__cfn-lint-3764,0,43034,
conan-io__conan-17129,0,481042,
patroni__patroni-3198,0,52898,
stanfordnlp__dspy-1609,0,68454,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
run-llama__llama_deploy-356,0,843767,KeyError: 'oai_chat_response'
pdm-project__pdm-3314,0,127169,Not resolved
conan-io__conan-17302,0,1750312,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
deepset-ai__haystack-8525,0,1594469,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
conan-io__conan-17326,0,206463,Not resolved
pallets__flask-5626,0,622548,
run-llama__llama_deploy-372,0,329569,
reata__sqllineage-661,0,1383345,Not resolved
kozea__weasyprint-2303,0,77751,
pypsa__pypsa-1091,0,53919,
stanfordnlp__dspy-1741,0,221028,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pytorch__torchtune-2066,0,128987,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
run-llama__llama_deploy-399,0,46180,Not resolved
conan-io__conan-17408,0,91478,JSONDecodeError: Expecting ';' delimiter: line 1 column 47 (char 46)
bridgecrewio__checkov-6895,0,288447,Not resolved
kedro-org__kedro-4387,0,218402,KeyError: 'oai_chat_response'
aws-cloudformation__cfn-lint-3866,0,93809,
encode__starlette-2812,0,20680,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
aws-cloudformation__cfn-lint-3854,0,545126,
wemake-services__wemake-python-styleguide-3128,0,626114,
keras-team__keras-20609,0,186006,KeyError: 'oai_chat_response'
matplotlib__matplotlib-29249,0,322315,
streamlink__streamlink-6338,0,56370,
reflex-dev__reflex-4510,0,119014,
instructlab__instructlab-2825,0,215418,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
cyclotruc__gitingest-115,0,20511,Not resolved
run-llama__llama_deploy-438,0,34414,KeyError: 'oai_chat_response'
kedro-org__kedro-4427,0,127348,
koxudaxi__datamodel-code-generator-2259,0,129989,
matplotlib__matplotlib-29486,0,531050,
joke2k__faker-2155,0,822199,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
reflex-dev__reflex-4717,0,432113,
pydata__xarray-9971,0,23801,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
qtile__qtile-5154,0,16969,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
sphinx-doc__sphinx-13253,0,144653,JSONDecodeError: Unterminated string starting at: line 1 column 92 (char 91)
instructlab__instructlab-2886,0,208849,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
instructlab__instructlab-2927,0,156965,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
bridgecrewio__checkov-7002,0,123545,Not resolved
koxudaxi__datamodel-code-generator-2327,0,59477,KeyError: 'oai_chat_response'
instructlab__instructlab-3118,0,149933,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
run-llama__llama_deploy-458,0,100851,
pybamm-team__pybamm-4816,0,73116,KeyError: 'oai_chat_response'
conan-io__conan-17781,0,14953,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
wireservice__csvkit-1274,0,35539,KeyError: 'oai_chat_response'
python-control__python-control-1111,1,38165,
wireservice__csvkit-1281,0,124573,
shapely__shapely-2224,0,23106,
modelcontextprotocol__python-sdk-222,0,24173,
dynaconf__dynaconf-1238,0,74054,
conan-io__conan-17708,0,352779,
aws-cloudformation__cfn-lint-4051,0,304781,KeyError: 'oai_chat_response'
deepset-ai__haystack-9066,0,188122,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
conan-io__conan-17967,0,593773,
deepset-ai__haystack-8997,0,188668,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pdm-project__pdm-3420,0,577364,Not resolved
deepset-ai__haystack-8973,0,65660,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
iterative__dvc-10711,0,155740,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
kozea__weasyprint-2398,0,266644,Not resolved
joke2k__faker-2190,0,96183,JSONDecodeError: Unterminated string starting at: line 1 column 106 (char 105)
reflex-dev__reflex-5039,0,186983,
conan-io__conan-18037,0,58367,KeyError: 'oai_chat_response'
yt-dlp__yt-dlp-12714,0,76938,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
deepset-ai__haystack-8489,0,246688,
pvlib__pvlib-python-2249,1,48447,
conan-io__conan-17123,0,166441,Not resolved
aws-cloudformation__cfn-lint-3770,0,570267,
run-llama__llama_deploy-330,0,84700,
streamlink__streamlink-6242,0,18737,Not resolved
conan-io__conan-17102,0,1152548,KeyError: 'oai_chat_response'
aiogram__aiogram-1594,0,52945,
aws-cloudformation__cfn-lint-3789,0,141021,Not resolved
instructlab__instructlab-2548,0,268365,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
jupyterlab__jupyter-ai-1022,0,131968,KeyError: 'oai_chat_response'
instructlab__instructlab-2526,0,200455,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
python-control__python-control-1064,0,57483,Not resolved
conan-io__conan-17266,0,122358,
pallets__flask-5637,0,161840,
kozea__weasyprint-2300,0,49618,KeyError: 'oai_chat_response'
instructlab__instructlab-2585,0,386059,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
keras-team__keras-20534,0,442595,Not resolved
instructlab__instructlab-2592,0,2821721,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
yt-dlp__yt-dlp-11425,0,104964,Not resolved
pydata__xarray-9760,0,420312,
joke2k__faker-2142,0,133306,
sphinx-doc__sphinx-13127,0,211470,KeyError: 'oai_chat_response'
stanfordnlp__dspy-1801,0,828272,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pylint-dev__pylint-10097,0,451582,
wemake-services__wemake-python-styleguide-3117,0,156174,
wemake-services__wemake-python-styleguide-3129,0,133767,
aws-cloudformation__cfn-lint-3890,0,71733,Not resolved
pvlib__pvlib-python-2341,0,95928,JSONDecodeError: Unterminated string starting at: line 1 column 84 (char 83)
aws-cloudformation__cfn-lint-3855,0,68190,JSONDecodeError: Unterminated string starting at: line 1 column 109 (char 108)
pytorch__torchtune-2139,0,152334,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
beeware__briefcase-2088,0,769462,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
python-telegram-bot__python-telegram-bot-4617,0,260032,
pybamm-team__pybamm-4644,0,22591,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
matplotlib__matplotlib-29258,0,74268,KeyError: 'oai_chat_response'
aws-cloudformation__cfn-lint-3875,0,584476,
aws-cloudformation__cfn-lint-3862,0,603541,KeyError: 'oai_chat_response'
cyclotruc__gitingest-94,0,28013,
python-babel__babel-1179,0,626515,
cyclotruc__gitingest-134,0,46077,
matplotlib__matplotlib-29431,0,563556,
pdm-project__pdm-3374,0,55084,KeyError: 'oai_chat_response'
dynaconf__dynaconf-1225,0,74924,
sphinx-doc__sphinx-13261,0,33792,Not resolved
reflex-dev__reflex-4720,0,344279,
beancount__beancount-931,0,52398,
modelcontextprotocol__python-sdk-167,0,648143,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
privacyidea__privacyidea-4206,0,419114,KeyError: 'oai_chat_response'
icloud-photos-downloader__icloud_photos_downloader-1060,0,63251,
kedro-org__kedro-4406,0,87855,Not resolved
sissbruecker__linkding-984,0,103170,Not resolved
sissbruecker__linkding-989,0,98703,Not resolved
pvlib__pvlib-python-2393,1,27453,
feast-dev__feast-5036,0,109207,KeyError: 'oai_chat_response'
mikedh__trimesh-2363,0,34251,JSONDecodeError: Unterminated string starting at: line 1 column 95 (char 94)
python-telegram-bot__python-telegram-bot-4673,0,30754,KeyError: 'oai_chat_response'
huggingface__smolagents-731,0,279342,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pvlib__pvlib-python-2400,0,48203,JSONDecodeError: Unterminated string starting at: line 1 column 91 (char 90)
privacyidea__privacyidea-4251,0,48639,Not resolved
conan-io__conan-17725,0,819017,Not resolved
delgan__loguru-1297,0,33862,Not resolved
keras-team__keras-20880,0,286584,
koxudaxi__datamodel-code-generator-2349,0,48132,KeyError: 'oai_chat_response'
yt-dlp__yt-dlp-12684,0,40633,KeyError: 'oai_chat_response'
aws-cloudformation__cfn-lint-4002,0,546234,
kedro-org__kedro-4580,0,84132,JSONDecodeError: Expecting ';' delimiter: line 1 column 47 (char 46)
deepset-ai__haystack-8992,0,312939,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
ipython__ipython-14822,0,46450,Not resolved
pypsa__pypsa-1195,0,74912,
flexget__flexget-4306,0,35574,Not resolved
deepset-ai__haystack-8969,0,138357,
pypsa__pypsa-1172,0,51766,JSONDecodeError: Unterminated string starting at: line 1 column 11 (char 10)
huggingface__smolagents-843,0,301640,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
deepset-ai__haystack-9027,0,205087,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
aws-cloudformation__cfn-lint-3982,0,566065,
pytorch__torchtune-1806,0,159924,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
projectmesa__mesa-2394,0,36252,
projectmesa__mesa-2418,0,29489,KeyError: 'oai_chat_response'
instructlab__instructlab-2540,0,153654,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
pylint-dev__pylint-10044,0,126582,Not resolved
aws-cloudformation__cfn-lint-3768,0,503286,
pydata__xarray-9636,0,59887,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
conan-io__conan-17132,0,497786,Not resolved
pdm-project__pdm-3237,0,239288,
stanfordnlp__dspy-1651,0,293086,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
conan-io__conan-17183,0,258018,Not resolved
reflex-dev__reflex-4266,0,161874,Not resolved
aws-cloudformation__cfn-lint-3821,0,134541,Not resolved
aws-cloudformation__cfn-lint-3817,0,950878,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
reflex-dev__reflex-4371,0,1510903,
pdm-project__pdm-3255,0,238178,
conan-io__conan-17382,0,634873,Not resolved
pylint-dev__pylint-10062,0,302497,
reflex-dev__reflex-4427,0,67305,
keras-team__keras-20443,0,117495,Not resolved
conan-io__conan-17301,0,270924,
projectmesa__mesa-2523,0,21746,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
run-llama__llama_deploy-384,0,58395,Not resolved
pdm-project__pdm-3250,0,77305,Not resolved
beetbox__beets-5495,0,28145,
streamlink__streamlink-6361,0,35959,
conan-io__conan-17538,0,636845,
reflex-dev__reflex-4563,0,88888,Not resolved
conan-io__conan-17514,0,305914,KeyError: 'oai_chat_response'
yt-dlp__yt-dlp-11880,0,26644,
matplotlib__matplotlib-29285,0,124858,Not resolved
bridgecrewio__checkov-6893,0,500556,
urllib3__urllib3-3527,0,31947,Not resolved
beeware__briefcase-2075,0,47081,Not resolved
conan-io__conan-17520,0,412399,
run-llama__llama_deploy-397,1,61041,
conan-io__conan-17517,0,879865,
scrapy-plugins__scrapy-splash-324,0,30506,APIError: 500 Server Error for http+docker://localhost/v1.41/images/create?tag=latest&fromImage=star
matplotlib__matplotlib-29537,0,55319,
amoffat__sh-744,0,58955,
sissbruecker__linkding-971,0,77659,Not resolved
huggingface__smolagents-285,0,223006,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
sympy__sympy-27462,0,91119,
kedro-org__kedro-4408,0,49239,Not resolved
python-babel__babel-1163,0,651792,
privacyidea__privacyidea-4223,0,35166,KeyError: 'oai_chat_response'
projectmesa__mesa-2632,0,63895,
instructlab__instructlab-3060,0,232109,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
ipython__ipython-14695,0,22254,JSONDecodeError: Unterminated string starting at: line 1 column 94 (char 93)
deepset-ai__haystack-8725,0,262905,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
mikedh__trimesh-2354,0,54011,KeyError: 'oai_chat_response'
pydata__xarray-10076,0,967674,ReadTimeout: UnixHTTPConnectionPool(host='localhost'; port=None): Read timed out. (read timeout=600)
privacyidea__privacyidea-4233,0,185237,KeyError: 'oai_chat_response'
deepset-ai__haystack-8940,0,521426,ImageNotFound: 404 Client Error for http+docker://localhost/v1.41/images/starryzhang/sweb.eval.x86_6
kozea__weasyprint-2387,0,25489,KeyError: 'oai_chat_response'
joke2k__faker-2173,0,224794,Not resolved
sissbruecker__linkding-999,0,279682,Not resolved
delgan__loguru-1306,0,32241,KeyError: 'oai_chat_response'
sissbruecker__linkding-995,0,410891,Not resolved
ipython__ipython-14798,0,111290,
conan-io__conan-17819,0,211792,
dynaconf__dynaconf-1249,0,98198,Not resolved
kozea__weasyprint-2405,0,93931,
deepset-ai__haystack-8993,0,350860,
ipython__ipython-14838,0,109215,
pdm-project__pdm-3419,0,64377,KeyError: 'oai_chat_response'
conan-io__conan-18028,0,191135,KeyError: 'oai_chat_response'
shapely__shapely-2255,0,111586,
matplotlib__matplotlib-29781,0,122728,
python-babel__babel-1194,0,587229,
aws-cloudformation__cfn-lint-4016,0,482345,
theoehrly__fast-f1-699,0,76202,KeyError: 'oai_chat_response'
aws-cloudformation__cfn-lint-4023,0,1106513,
beetbox__beets-5682,0,68353,KeyError: 'oai_chat_response'
keras-team__keras-21072,0,163077,Not resolved
